"","week","category_id","year","total_sales","avg_sales"
"1","01",95052,2016,824,1004
"2","01",95052,2017,1184,1004
"3","01",95056,2017,181,205.5
"4","01",95056,2016,230,205.5
"5","01",95061,2017,129,77.5
"6","01",95061,2016,26,77.5
"7","01",95062,2017,1575,1162.5
"8","01",95062,2016,750,1162.5
"9","01",95063,2016,25,35.5
"10","01",95063,2017,46,35.5
"11","01",95064,2017,3069,1598
"12","01",95064,2016,127,1598
"13","01",95065,2017,915,888
"14","01",95065,2016,861,888
"15","01",95067,2017,155,152
"16","01",95067,2016,149,152
"17","01",95070,2017,311,314
"18","01",95070,2016,317,314
"19","01",95071,2017,5415,5324.5
"20","01",95071,2016,5234,5324.5
"21","01",95072,2017,22376,21099.5
"22","01",95072,2016,19823,21099.5
"23","01",95073,2017,12147,12351
"24","01",95073,2016,12555,12351
"25","01",95075,2017,98,77
"26","01",95075,2016,56,77
"27","01",95076,2017,547,425.5
"28","01",95076,2016,304,425.5
"29","01",95083,2016,15,11.5
"30","01",95083,2017,8,11.5
"31","01",95084,2016,11,13.5
"32","01",95084,2017,16,13.5
"33","01",95085,2017,20,23
"34","01",95085,2016,26,23
"35","01",95086,2017,1281,1160
"36","01",95086,2016,1039,1160
"37","01",95087,2017,441,616
"38","01",95087,2016,791,616
"39","01",95088,2017,139,130
"40","01",95088,2016,121,130
"41","01",95089,2017,598,534.5
"42","01",95089,2016,471,534.5
"43","01",95090,2017,225,150.5
"44","01",95090,2016,76,150.5
"45","01",95091,2017,64,53.5
"46","01",95091,2016,43,53.5
"47","01",95176,2017,81,79
"48","01",95176,2016,77,79
"49","01",95183,2017,101,96
"50","01",95183,2016,91,96
"51","01",95184,2017,154,143.5
"52","01",95184,2016,133,143.5
"53","01",95191,2017,12,12
"54","01",95192,2016,94,99
"55","01",95192,2017,104,99
"56","01",95199,2017,1,1
"57","01",95200,2017,70,35.5
"58","01",95200,2016,1,35.5
"59","01",95201,2017,7,7
"60","01",95226,2017,34,116
"61","01",95226,2016,198,116
"62","01",95238,2017,13,12.5
"63","01",95238,2016,12,12.5
"64","01",95249,2017,72,74
"65","01",95249,2016,76,74
"66","01",95250,2017,2,4
"67","01",95250,2016,6,4
"68","01",95252,2016,9,9
"69","01",95252,2017,9,9
"70","01",95253,2017,528,563
"71","01",95253,2016,598,563
"72","01",95254,2017,740,644
"73","01",95254,2016,548,644
"74","01",95256,2017,25,25
"75","01",95260,2017,3,2
"76","01",95260,2016,1,2
"77","01",95267,2016,1,1
"78","01",95288,2017,13,12.5
"79","01",95288,2016,12,12.5
"80","01",95302,2016,1,1
"81","01",95384,2017,322,191
"82","01",95384,2016,60,191
"83","01",95385,2016,35,261
"84","01",95385,2017,487,261
"85","01",95387,2017,909,455
"86","01",95387,2016,1,455
"87","01",95388,2017,145,84.5
"88","01",95388,2016,24,84.5
"89","01",95396,2017,39,35
"90","01",95396,2016,31,35
"91","01",95397,2017,2,2
"92","01",95400,2017,608,484
"93","01",95400,2016,360,484
"94","01",95402,2017,3010,2717.5
"95","01",95402,2016,2425,2717.5
"96","01",95405,2017,1102,1121.5
"97","01",95405,2016,1141,1121.5
"98","01",95414,2016,14,16
"99","01",95414,2017,18,16
"100","01",95416,2017,1,1
"101","01",95419,2017,6,5.5
"102","01",95419,2016,5,5.5
"103","01",95420,2017,5,5
"104","01",95421,2017,8,5
"105","01",95421,2016,2,5
"106","01",95422,2017,16,9.5
"107","01",95422,2016,3,9.5
"108","01",95423,2017,20,14.5
"109","01",95423,2016,9,14.5
