"item","complements"
"999179095","999231999"
"999985253","999231999"
"999174145","999231999"
"999995280","999231999"
"999425088","999231999"
"999633868","999231999"
"999185673","999231999"
"999616784","999231999"
"999960817","999231999"
"999279415","999231999"
"999304398","999231999"
"999156842","999231999"
"999323939","999231999"
"999184216","999231999"
"999616785","999231999"
"999358585","999231999"
"999324731","999231999"
"999174047","999231999"
"999276595","999231999"
"299893012","999956795"
"299893012","999231999"
"999946229","999231999"
"999183077","999231999"
"999510918","999231999"
"999476545","999231999"
"999937609","999231999"
"999289703","999231999"
"299893011","999956795"
"234423012","999956795"
"234423012","999231999"
"299894010","999956795"
"299894010","999231999"
"999334732","999231999"
"999357140","999956795"
"999357140","999231999"
"178738006","999956795"
"178738006","999231999"
"999653192","999231999"
"299894012","999956795"
"999380298","999231999"
"145519008","999956795"
"145519008","999231999"
"999693305","999231999"
"999946225","999231999"
"162500009","999956795"
"162500009","999231999"
"233551009","999231999"
"999576935","999231999"
"145519011","999956795"
"145519011","999231999"
"177402008","999956795"
"177402008","999231999"
"178738012","999956795"
"178738012","999231999"
"178738010","999956795"
"999300050","999231999"
"999937274","999231999"
"999327358","999231999"
"999326163","999231999"
"999450897","999231999"
"999271525","999231999"
"180440006","999956795"
"180440006","999231999"
"178718010","999231999"
"999498439","999231999"
"234423008","999956795"
"234423008","999231999"
"999972283","999231999"
"299894009","999956795"
"299894009","999231999"
"999578813","999231999"
"999937209","999231999"
"299894011","999956795"
"153701007","999956795"
"153701007","999231999"
"999616794","999231999"
"999937545","999231999"
"178738009","999956795"
"178738009","999231999"
"178708012","999956795"
"178708012","999231999"
"999425476","999231999"
"162500010","999956795"
"162500010","999231999"
"999694953","999231999"
"296592012","999956795"
"296592012","999231999"
"999276391","999231999"
"999892152","999231999"
"999436980","999231999"
"234415012","999956795"
"234415012","999231999"
"153701006","999956795"
"153701006","999231999"
"999411220","999231999"
"266012007","999956795"
"266012007","999231999"
"999425477","999231999"
"197953011","999956795"
"197953011","999231999"
"999985248","999231999"
"999301585","999231999"
"999246551","999231999"
"999235115","999231999"
"162500011","162500012"
"162500011","999956795"
"162500011","999231999"
"999329006","999956795"
"999329006","999231999"
"152576008","999956795"
"152576008","999231999"
"153701009","999956795"
"153701009","999231999"
"152576009","999956795"
"152576009","999231999"
"999995515","999231999"
"197953012","999956795"
"197953012","999231999"
"178718007","999956795"
"178718007","999231999"
"999892163","999231999"
"180440010","999956795"
"180440010","999231999"
"234415009","999956795"
"234415009","999231999"
"234415008","999956795"
"234415008","999231999"
"999725419","999231999"
"999958016","999231999"
"158284012","999956795"
"158284012","999231999"
"568040012","999956795"
"568040012","999231999"
"568040010","999956795"
"568040010","999231999"
"568040008","999956795"
"568040008","999231999"
"248622012","999956795"
"248622012","999231999"
"999301596","999231999"
"486635012","999956795"
"568040009","999956795"
"568040009","999231999"
"568041012","999956795"
"568041012","999231999"
