"item","substitute"
"234423012","145519010"
"145519010","234423012"
"234423012","145519011"
"145519011","234423012"
"234423012","145519008"
"145519008","234423012"
"234423012","145519009"
"145519009","234423012"
"234423012","145519012"
"145519012","234423012"
"234423012","153701007"
"153701007","234423012"
"234423012","153701011"
"153701011","234423012"
"234423012","153701010"
"153701010","234423012"
"234423012","153701006"
"153701006","234423012"
"234423012","266012007"
"266012007","234423012"
"234423012","153701012"
"153701012","234423012"
"234423012","153701008"
"153701008","234423012"
"234423012","266012009"
"266012009","234423012"
"234423012","153701005"
"153701005","234423012"
"234423012","153701009"
"153701009","234423012"
"234423012","266012006"
"266012006","234423012"
"234423012","266012008"
"266012008","234423012"
"234423012","473588007"
"473588007","234423012"
"234423012","473588012"
"473588012","234423012"
"234423012","266012011"
"266012011","234423012"
"145519010","234423008"
"234423008","145519010"
"145519010","153701007"
"153701007","145519010"
"145519010","234423010"
"234423010","145519010"
"145519010","153701010"
"153701010","145519010"
"145519010","153701006"
"153701006","145519010"
"145519010","266012007"
"266012007","145519010"
"145519010","234423009"
"234423009","145519010"
"145519010","234423011"
"234423011","145519010"
"145519010","153701008"
"153701008","145519010"
"145519010","266012009"
"266012009","145519010"
"145519010","266012006"
"266012006","145519010"
"145519010","266012008"
"266012008","145519010"
"145519010","473588007"
"473588007","145519010"
"145519010","473588012"
"473588012","145519010"
"145519010","266012011"
"266012011","145519010"
"145519011","234423008"
"234423008","145519011"
"145519011","153701007"
"153701007","145519011"
"145519011","234423010"
"234423010","145519011"
"145519011","153701010"
"153701010","145519011"
"145519011","153701006"
"153701006","145519011"
"145519011","266012007"
"266012007","145519011"
"145519011","234423009"
"234423009","145519011"
"145519011","234423011"
"234423011","145519011"
"145519011","153701008"
"153701008","145519011"
"145519011","266012009"
"266012009","145519011"
"145519011","153701005"
"153701005","145519011"
"145519011","153701009"
"153701009","145519011"
"145519011","266012006"
"266012006","145519011"
"145519011","266012008"
"266012008","145519011"
"145519011","473588007"
"473588007","145519011"
"145519011","473588012"
"473588012","145519011"
"145519011","266012011"
"266012011","145519011"
"145519008","234423008"
"234423008","145519008"
"145519008","153701007"
"153701007","145519008"
"145519008","234423010"
"234423010","145519008"
"145519008","153701010"
"153701010","145519008"
"145519008","153701006"
"153701006","145519008"
"145519008","266012007"
"266012007","145519008"
"145519008","234423009"
"234423009","145519008"
"145519008","234423011"
"234423011","145519008"
"145519008","153701008"
"153701008","145519008"
"145519008","266012009"
"266012009","145519008"
"145519008","153701005"
"153701005","145519008"
"145519008","266012006"
"266012006","145519008"
"145519008","266012008"
"266012008","145519008"
"145519008","473588007"
"473588007","145519008"
"145519008","473588012"
"473588012","145519008"
"145519008","266012011"
"266012011","145519008"
"234423008","145519009"
"145519009","234423008"
"234423008","145519012"
"145519012","234423008"
"234423008","153701007"
"153701007","234423008"
"234423008","153701011"
"153701011","234423008"
"234423008","153701010"
"153701010","234423008"
"234423008","153701006"
"153701006","234423008"
"234423008","266012007"
"266012007","234423008"
"234423008","153701012"
"153701012","234423008"
"234423008","153701008"
"153701008","234423008"
"234423008","266012009"
"266012009","234423008"
"234423008","153701005"
"153701005","234423008"
"234423008","153701009"
"153701009","234423008"
"234423008","266012006"
"266012006","234423008"
"234423008","266012008"
"266012008","234423008"
"234423008","473588007"
"473588007","234423008"
"234423008","473588012"
"473588012","234423008"
"234423008","266012011"
"266012011","234423008"
"145519009","153701007"
"153701007","145519009"
"145519009","153701011"
"153701011","145519009"
"145519009","234423010"
"234423010","145519009"
"145519009","153701010"
"153701010","145519009"
"145519009","153701006"
"153701006","145519009"
"145519009","266012007"
"266012007","145519009"
"145519009","234423009"
"234423009","145519009"
"145519009","234423011"
"234423011","145519009"
"145519009","153701008"
"153701008","145519009"
"145519009","266012009"
"266012009","145519009"
"145519009","153701005"
"153701005","145519009"
"145519009","153701009"
"153701009","145519009"
"145519009","266012006"
"266012006","145519009"
"145519009","266012008"
